Name,Link,Category,Series,LatestChapter,FileName,Status,ChatId,ResolvedSource
"I Became The King by Scavenging","","manwha","","83","","Missing Link","",""
"Only I Have an EX-Grade Summon | I Have an EX-Grade Summon | I Alone Am an EX-Class Summoner | Solo EX Rank X Grade","https://t.me/Only_I_have_an_ex_Grade_Summo","manwha","Only I Have an EX-Grade Summon","29","[MV] [029] Only I Have an EX-Grade Summon @Manhwa_Voltage.pdf","Success","",""
"Pig Slayer || A Pig-Slaughtering Knife Cutting Through All Realms — Makes Sense, Right? | Almighty Pig Slaughtering Knife","https://t.me/Pig_Slayer","manwha","052- Almighty Pig Slaughtering Knif","52","052- Almighty Pig Slaughtering Knif @Manhwa_Worlds.pdf","Success","",""
"The Eldest Son of the Marquis House is a Martial Artist || The Marquis’ Ducal Son is a Martial Artist","https://t.me/The_Eldest_Son_of_the_Marquis","manwha","","40","","No Chapter Found","",""
"Cosmic Heavenly Demon 3077 | Space Heavenly Demon 3077 | Cosmic Demon 3077 | Space Cheon-ma 3077","https://t.me/Cosmic_Heavenly_Demon_3077","manwha","","97","","No Chapter Found","",""
"My Simulated Path To Immortality | My Life Simulation: The Road to Immortality","https://t.me/My_Simulated_Path_To","manwha","067- My Simulated Path To Immortali","67","067- My Simulated Path To Immortali @Manhwa_Worlds.pdf","Success","",""
"Invincible After Shocking My Empress Wife","https://t.me/Invincible_After_Shocking_My_Emp","manwha","127- Invincible After Shocking My E","127","127- Invincible After Shocking My E @Manhwa_Worlds.pdf","Success","",""
"My Dragon System Manhua | EVIL DRAGON IS REINCARNATED! REVENGE BEGINS AT THE AGE OF FIVE!","https://t.me/My_Dragon_System","manwha","My Dragon System","292","Ch - 292 My Dragon System @Manga_Universe.pdf","Success","",""
"Doomsday for All Me, Virus Monarch | Virus King | Doomsday for All: Me, Virus Monarch","https://t.me/Doomsday_for_All_Virus_Monarch","manwha","125- Doomsday for All Me, Virus Mon","125","125- Doomsday for All Me, Virus Mon @Manhwa_Worlds.pdf","Success","",""
"Evolution: Road To Space Monster | I Became An Evolving Space Monster | I Became an Evolving Space Monster","https://t.me/Evolution_Road_To_Space_Monster","manwha","","101","","No Chapter Found","",""
"A Wimp's Strategy Guide to Conquer the Tower | Guide to Beating the Weakling's Tower","https://t.me/A_Wimps_Strategy_Guide_to","manwha","037- A Wimp’s Strategy Guide to Con","37","037- A Wimp’s Strategy Guide to Con @Manhwa_Worlds.pdf","Success","",""
"Number One Beast Master","https://t.me/Number_One_Beast_Master","manwha","","130","","No Chapter Found","",""
"The Mad Dog of the Duke's Estate","https://t.me/The_Mad_Dog_of_the_Dukes_Estate","manwha","066- The Mad Dog of the Dukes Estat","66","066- The Mad Dog of the Dukes Estat @Manhwa_Worlds.pdf","Success","",""
"All My Alter Egos Are Tycoons | Sovereign Of The Infinite Clones | My Avatars’ Path to Greatness | My Clone Is Becoming A Giants","https://t.me/All_My_Alter_Egos_Are_Manhwa","manwha","086- All My Alter Egos Are Tycoons","86","086- All My Alter Egos Are Tycoons @Manhwa_Worlds.pdf","Success","",""
"Reincarnator’s Stream | Reincarnated Streamer","https://t.me/Reincarnator_Stream","manwha","","56","","No Chapter Found","",""
"I Rely on My Invincibility to Deal Tons of Damage Passively | My Passive Skills Are Invincible","https://t.me/Rely_on_My_Invincibility_to_Deal","manwha","186- I Rely on My Invincibility to","186","186- I Rely on My Invincibility to  @Manhwa_Worlds.pdf","Success","",""
"Return of the Devourer | Eater of All | The Glutton","https://t.me/The_Glutton_Man","manwha","036- Return of the Devourer","36","036- Return of the Devourer @Manhwa_Worlds.pdf","Success","",""
"Starting With 13 Hidden Traits","https://t.me/Starting_With_13_Hidden","manwha","038- Starting With 13 Hidden Traits","38","038- Starting With 13 Hidden Traits @Manhwa_Worlds.pdf","Success","",""
"The Count’s Youngest Son is A Player | The Youngest of the Count Is Actually a Player | The Count's Youngest Son Is a Gamer","https://t.me/The_Counts_Youngest_Son_Is_playe","manwha","166- The Count’s Youngest Son is A","166","166- The Count’s Youngest Son is A  @Manhwa_Worlds.pdf","Success","",""
"Versatile Sword Cultivator | Full Time Swordsman","https://t.me/SwordCultivator","manwha","109- Versatile Sword Cultivator","109","109- Versatile Sword Cultivator @Manhwa_Worlds.pdf","Success","",""
"Healing Life Through Camping In Another World | Peaceful Camping Life in Another World","https://t.me/Healing_Life_Through_Camping_In","manwha","","108","","No Chapter Found","",""
"Snake Immortal: The Tale Of A Snake's Cultivation To Immortality | Serpent Ancestor | Snake Ancestor","https://t.me/Snake_Immortal_The_Tale_of","manwha","095- Snake Ancestor","95","095- Snake Ancestor @Manhwa_Worlds.pdf","Success","",""
"Overlord Of Insects | Supreme Zerg Lord | The King of the Insects | The Zerg Dominator","https://t.me/Overlord_Of_Insects","manwha","125- Overlord of Insects","125","125- Overlord of Insects @Manhwa_Worlds.pdf","Success","",""
"Starting as the Black Dragon Boss, I Am Invincible","https://t.me/Starting_as_the_Black_Dragon_BOS","manwha","","100","","No Chapter Found","",""
"Murim Psychopath","https://t.me/Murim_Psychopath_Man","manwha","034- Murim Psychopath","34","034- Murim Psychopath @Manhwa_Worlds.pdf","Success","",""
"The Tutorial is Too Hard | The Tutorial is Too Tough","https://t.me/Tutorial_is_Too_Hard","manwha","The Tutorial Is Too Hard","279","[279] The Tutorial Is Too Hard @Manga_Campus.pdf","Success","",""
"After Rebirth, I Used Mirror Reversal For Vengeance","","manwha","","57","","Missing Link","",""
"Master: This Villainous Disciple Is Not The Holy Child","","manwha","","190","","Missing Link","",""
"Global Beast Tamer: I Can See the Path of Evolution","https://t.me/Global_Beast_Tamer","manwha","Global Beast Tamer: I Can See the","92","Ch - 92 Global Beast Tamer: I Can See the @Manga_Universe.pdf","Success","",""
"Writers legacy","https://t.me/Writers_Legacy_Manhwa","manwha","Writers Legacy","50","[MS] [50] Writers Legacy @Manhwa_Sect.pdf","Success","",""
"The Maxed-Out Player","","manwha","","137","","Missing Link","",""
"S-Class Hunter Heals with Monsters","","manwha","","51","","Missing Link","",""
"Hero X Demon Queen","https://t.me/Hero_X_Demon_Queen","manwha","Hero X Demon Queen","182.5","Ch - 182.5 Hero X Demon Queen @Manga_Universe.pdf","Success","",""
"Worthless Profession: Dragon Tamer","","manwha","","263","","Resolved from saved messages","2195720677","saved-message"
"From Goblin to Goblin God","https://t.me/From_Goblin_to_Goblin_God_mu","manwha","From Goblin to Goblin God","116","Ch - 116 From Goblin to Goblin God @Manga_Universe.pdf","Success","",""
"I Am the Fated Villain [MANHUA]","https://t.me/I_am_the_fated_villain_manhua","manwha","I Am the Fated Villain","344","[344] I Am the Fated Villain @ManhwaXGarden.pdf","Success","",""
"Savior of Divine Blood ~ Draw Out 0.00000001% To Become the Strongest","https://t.me/Savior_of_Divine_Blood","manwha","Savior of Divine Blood ~Draw Out","197","Ch - 197 Savior of Divine Blood ~Draw Out @Manga_Universe.pdf","Success","",""
"Disastrous Necromancer || Catastrophic Necromancer","https://t.me/Disastrous_Necromance","manwha","Disastrous Necromancer","288","[288] Disastrous Necromancer @ManhwaXGarden.pdf","Success","",""
